0:  zero-function
522:  -130-042-253
524:  -011-340-154-263
526:  -011-243-130-562
528:  -034-141-024-563
530:  -033-242-054-163
532:  -134-020-451-034-264-783
534:  -120-124-042-362-564-783
536:  -124-344-033-262-074-580
538:  -033-234-150-461-024-783
540:  -121-344-011-264-570
542:  -012-244-154-342-672
544:  -234-040-153
546:  -230-141-052
548:  -022-023-014-351-474-682
550:  -022-023-014-351-473-682
552:  -134-120-451-264-070
554:  -131-240-130-561-072
556:  -012-244-121-564-354-782
558:  -012-244-121-564-352-782
560:  -033-241-354-163
562:  -021-230-143-563
564:  -134-043-154-244-673
566:  -022-144-342-254-673
568:  -234-044-253-464-144-780
570:  -231-140-021-563-230-782
572:  -234-040-352-144-673
574:  -022-344-124-563-474
576:  -014-024-234-450-670
578:  -014-130-452-124-672
580:  -134-034-452-230-672
582:  -123-014-453-130-672
584:  -230-024-134-560-473
586:  -234-140-254-024-673
588:  -234-040-354-134-673
590:  -124-042-154-352-672
592:  -130-241-354-034-672
594:  -024-033-122-564-472
596:  -121-034-344-563
598:  -121-033-044-563
600:  -012-344-024-563
602:  -012-342-024-563
604:  -234-043-254-151-374-683
606:  -121-232-452-062-343-784
608:  -130-234-453-014-670
610:  -230-122-051-164-473
612:  -022-344-014-563
614:  -022-014-342-562
616:  -121-120-344-054-670
618:  -121-120-340-054-673
620:  -234-040-130-561-174
622:  -034-144-142-064-252-782
624:  -031-234-012-462-572
626:  -010-034-252-064-473
628:  -134-043-252-464-154-782
630:  -034-141-140-361-251-784
632:  -134-040-352-262-574
634:  -012-234-450-054-373-681
636:  -121-044-124-344-561-780
638:  -124-042-154-352-461-783
640:  -134-040-234-560
642:  -130-242-154-062
644:  -124-044-134-340-560-783
646:  -010-244-034-161-374-583
648:  -230-141-354-060
650:  -123-042-130-562
652:  -024-142-022-561-134-780
654:  -024-142-022-561-130-782
656:  -014-013-251-464-234-780
658:  -034-014-254-451-074-682
660:  -012-344-124-064-573
662:  -022-124-054-342-672
664:  -123-044-134-064-572
666:  -121-044-154-340-672
668:  -034-241-154-350-064-783
670:  -023-144-012-353-263-781
672:  -234-040-122-562
674:  -134-240-154-062
676:  -121-122-344-054-670
678:  -121-024-352-462-574
680:  -121-344-050
682:  -121-340-052
684:  -234-043-122-464-573
686:  -034-242-142-064-573
688:  -014-342-251-013-364-783
690:  -121-232-452-062-153-781
692:  -134-034-452-230-264-783
694:  -013-012-244-561-360-782
696:  -121-344-131-063-572
698:  -121-123-051-340-672
700:  -121-344-124-061-570
702:  -121-340-124-061-573
704:  -021-124-340-264-573
706:  -022-232-451-160-474
708:  -022-144-134-560
710:  -022-342-152-464
712:  -014-240-054-134-670
714:  -014-240-054-130-672
716:  -134-022-352-462
718:  -012-243-132-561
720:  -012-244-344-562
722:  -230-012-254-463
724:  -120-034-453-121-374-683
726:  -121-120-340-044-571-683
728:  -022-012-451-354-264-783
730:  -022-012-352-451-274-683
732:  -121-012-354-454-673
734:  -121-340-012-561-474
736:  -034-141-254-354-673
738:  -024-143-352-262-574
740:  -134-020-451-034-574-682
742:  -134-031-022-453-671-184
744:  -121-120-344-051-670
746:  -121-120-340-051-673
748:  -121-344-011-560
750:  -121-340-011-563
752:  -012-241-350-264
754:  -230-012-251-463
756:  -121-022-454-344-670
758:  -121-044-251-340-672
760:  -021-121-354-460
762:  -021-121-350-462
764:  -121-033-451-364
766:  -034-141-251-364
768:  -233-143
770:  -031-243-153
772:  -134-032-452-263
774:  -031-144-253
776:  -134-243-031-560
778:  -031-130-452-263
780:  -134-243
782:  -134-032-451-263
784:  -234-020-151-462
786:  -031-244-153
788:  -230-142-254-032-364-783
790:  -031-141-254-140-672
792:  -231-031-254-144-670
794:  -032-244-354-142-672
796:  -134-031-244-453-672
798:  -131-130-041-264-573
800:  -031-240-354-163
802:  -230-031-153-463
804:  -124-344-040-264-572
806:  -031-144-032-262-572
808:  -124-344-040-133-671-580
810:  -131-240-130-561-031-783
812:  -234-040-252-144-673
814:  -134-042-153-243-671
816:  -234-143
818:  -032-241-354-163
820:  -134-031-150-244-673
